oktmo,name,year,inflow
03628428,Раздольненское,2019,12.0
03628429,Среднечубуркское,2019,6.0
03628431,Шкуринское,2019,13.0
03630000,Лабинский муниципальный район,2019,160.0
03630101,Лабинское,2019,106.0
03630404,Ахметовское,2019,1.0
03630416,Владимирское,2019,21.0
03630419,Вознесенское,2019,8.0
03630425,Зассовское,2019,1.0
03630428,Каладжинское,2019,3.0
03630437,Чамлыкское,2019,5.0
03630439,Лучевое,2019,1.0
03630446,Первосинюхинское,2019,10.0
03630455,Упорненское,2019,3.0
03630458,Харьковское,2019,1.0
03632000,Ленинградский муниципальный район,2019,208.0
03632401,Белохуторское,2019,3.0
03632402,Восточное,2019,1.0
03632403,Коржовское,2019,10.0
03632404,Крыловское,2019,15.0
03632407,Куликовское,2019,3.0
03632410,Ленинградское,2019,143.0
03632413,Новоплатнировское,2019,7.0
03632414,Новоуманское,2019,7.0
03632416,Уманское,2019,9.0
03632417,Первомайское,2019,10.0
03633000,Мостовский муниципальный район,2019,233.0
03633151,Мостовское,2019,111.0
03633156,Псебайское,2019,33.0
03633404,Андрюковское,2019,3.0
03633407,Баговское,2019,7.0
03633410,Беноковское,2019,1.0
03633413,Бесленеевское,2019,6.0
03633422,Губское,2019,25.0
03633431,Костромское,2019,4.0
03633434,Краснокутское,2019,5.0
03633440,Махошевское,2019,1.0
03633449,Переправненское,2019,6.0
03633452,Унароковское,2019,9.0
03633461,Шедокское,2019,9.0
03633464,Ярославское,2019,13.0
03634000,Новокубанский муниципальный район,2019,134.0
03634101,Новокубанское,2019,71.0
03634402,Бесскорбненское,2019,3.0
03634403,Верхнекубанское,2019,10.0
03634407,Ковалевское,2019,9.0
03634422,Новосельское,2019,4.0
03634425,Прикубанское,2019,11.0
03634428,Прочноокопское,2019,8.0
03634431,Советское,2019,18.0
03635000,Новопокровский муниципальный район,2019,104.0
03635402,Горькобалковское,2019,3.0
03635404,Ильинское,2019,7.0
03635407,Калниболотское,2019,6.0
03635410,Кубанское,2019,23.0
03635413,Незамаевское,2019,6.0
03635416,Новоивановское,2019,7.0
03635419,Новопокровское,2019,47.0
03635422,Покровское,2019,5.0
03637000,Отрадненский муниципальный район,2019,325.0
03637402,Благодарненское,2019,14.0
03637404,Красногвардейское,2019,7.0
03637407,Малотенгинское,2019,9.0
03637410,Надежненское,2019,4.0
03637413,Отрадненское,2019,179.0
03637416,Передовское,2019,7.0
03637419,Подгорненское,2019,6.0
03637422,Подгорносинюхинское,2019,1.0
03637425,Попутненское,2019,66.0
03637426,Рудьевское,2019,5.0
03637428,Спокойненское,2019,20.0
03637431,Удобненское,2019,7.0
03639000,Павловский муниципальный район,2019,149.0
03639402,Атаманское,2019,12.0
03639404,Веселовское,2019,4.0
03639410,Незамаевское,2019,11.0
03639413,Новолеушковское,2019,6.0
03639419,Новопетровское,2019,3.0
03639422,Новопластуновское,2019,13.0
03639428,Павловское,2019,70.0
03639430,Северное,2019,1.0
03639431,Среднечелбасское,2019,12.0
03639434,Старолеушковское,2019,16.0
03639440,Упорненское,2019,1.0
03641000,Приморско-Ахтарский муниципальный район,2019,109.0
03641101,Приморско-Ахтарское,2019,77.0
03641401,Ахтарское,2019,1.0
03641402,Бородинское,2019,1.0
03641404,Бриньковское,2019,8.0
03641407,Новопокровское,2019,3.0
03641410,Ольгинское,2019,9.0
03641413,Приазовское,2019,3.0
03641416,Свободное,2019,3.0
03641419,Степное,2019,4.0
03643000,Северский муниципальный район,2019,865.0
03643152,Афипское,2019,195.0
03643155,Ильское,2019,174.0
03643158,Черноморское,2019,61.0
03643402,Азовское,2019,38.0
03643404,Григорьевское,2019,12.0
03643406,Калужское,2019,10.0
03643407,Львовское,2019,53.0
03643408,Михайловское,2019,13.0
03643410,Новодмитриевское,2019,28.0
03643413,Северское,2019,240.0
03643416,Смоленское,2019,40.0
03643419,Шабановское,2019,1.0
03645000,Славянский муниципальный район,2019,961.0
03645101,Славянское,2019,625.0
03645401,Ачуевское,2019,4.0
03645402,Анастасиевское,2019,69.0
03645403,Голубая Нива,2019,3.0
03645404,Забойское,2019,10.0
03645407,Кировское,2019,13.0
03645410,Коржевское,2019,22.0
03645412,Маевское,2019,13.0
03645413,Петровское,2019,62.0
03645414,Прибрежное,2019,49.0
03645415,Прикубанское,2019,12.0
03645416,Протокское,2019,47.0
03645420,Рисовое,2019,15.0
03645425,Целинное,2019,11.0
03645429,Черноерковское,2019,6.0
03647000,Староминский муниципальный район,2019,89.0
03647402,Канеловское,2019,5.0
03647404,Куйбышевское,2019,5.0
03647410,Рассветовское,2019,10.0
03647413,Староминское,2019,69.0
03649000,Тбилисский муниципальный район,2019,199.0
03649401,Алексее-Тенгинское,2019,1.0
03649402,Ванновское,2019,25.0
03649404,Геймановское,2019,8.0
03649407,Ловлинское,2019,15.0
03649410,Марьинское,2019,10.0
03649413,Нововладимировское,2019,4.0
03649416,Песчаное,2019,14.0
03649419,Тбилисское,2019,122.0
03651000,Темрюкский муниципальный район,2019,1044.0
03651101,Темрюкское,2019,334.0
03651402,Ахтанизовское,2019,52.0
03651404,Вышестеблиевское,2019,37.0
03651407,Голубицкое,2019,50.0
03651410,Запорожское,2019,66.0
03651413,Краснострельское,2019,47.0
